,Set,precision,recall,fscore
0,GlassK:3 Folds:5distance_weighted_vote manhattan,0.6801366160499288,0.6417857142857142,0.6368446434983327
1,GlassK:5 Folds:5distance_weighted_vote manhattan,0.6794282106782108,0.6419642857142858,0.6301831763850267
2,GlassK:0 Folds:8distance_weighted_vote manhattan,0.6966653138528138,0.6799768518518517,0.6202207908477259
3,GlassK:5 Folds:5distance_weighted_vote euclidean,0.6364743426508134,0.6518650793650793,0.6175263096397691
4,GlassK:0 Folds:5distance_weighted_vote manhattan,0.6621549746549746,0.6673214285714287,0.6126851758011179
5,GlassK:3 Folds:8distance_weighted_vote manhattan,0.7147485038110041,0.6377314814814815,0.6109564168541237
6,GlassK:0 Folds:3distance_weighted_vote manhattan,0.6184180790318897,0.6557644824311489,0.6066116271935625
7,GlassK:3 Folds:5distance_weighted_vote euclidean,0.6253686349882003,0.6235119047619047,0.6042421767249354
8,GlassK:0 Folds:3distance_weighted_vote euclidean,0.6242260498957228,0.6229715306164579,0.6029114605352079
9,GlassK:3 Folds:3distance_weighted_vote manhattan,0.6148483003214461,0.626664086048144,0.5989278163236569
10,GlassK:5 Folds:8distance_weighted_vote manhattan,0.7074863215488216,0.6267939814814815,0.5961147415965529
11,GlassK:5 Folds:3distance_weighted_vote manhattan,0.6226358193463456,0.6171180684586483,0.5932374684238622
13,GlassK:3 Folds:5farest_distance_weighted_vote manhatan,0.7569487517313606,0.6175992063492064,0.5873736810578916
12,GlassK:3 Folds:5majority manhattan,0.7569487517313606,0.6175992063492064,0.5873736810578916
14,GlassK:3 Folds:8farest_distance_weighted_vote manhatan,0.7377795815295816,0.6034722222222223,0.5817770371040495
15,GlassK:3 Folds:8majority manhattan,0.7377795815295816,0.6034722222222223,0.5817770371040495
16,GlassK:5 Folds:8majority manhattan,0.7420191498316498,0.5922453703703704,0.5638544772109182
17,GlassK:0 Folds:8distance_weighted_vote euclidean,0.6658895502645503,0.6101851851851852,0.5635835499138518
18,GlassK:0 Folds:5distance_weighted_vote euclidean,0.5932024457024456,0.6000793650793651,0.562158952285468
19,GlassK:3 Folds:3distance_weighted_vote euclidean,0.5962168679273943,0.577580102398943,0.5612127282601361
20,GlassK:3 Folds:8farest_distance_weighted_vote euclidean,0.7475645881895884,0.5941550925925927,0.5597483901671882
21,GlassK:3 Folds:8majority euclidean,0.7475645881895884,0.5941550925925927,0.5597483901671882
22,GlassK:3 Folds:5majority euclidean,0.7378754940711463,0.5804563492063491,0.5594401114036884
23,GlassK:3 Folds:5farest_distance_weighted_vote euclidean,0.7378754940711463,0.5804563492063491,0.5594401114036884
24,GlassK:3 Folds:3farest_distance_weighted_vote euclidean,0.6486136760124765,0.5393715677773651,0.5581233488841211
25,GlassK:3 Folds:3majority euclidean,0.6486136760124765,0.5393715677773651,0.5581233488841211
26,GlassK:3 Folds:8distance_weighted_vote euclidean,0.6606320762570762,0.5875,0.5516226855574766
27,GlassK:5 Folds:8farest_distance_weighted_vote manhatan,0.6663733733586675,0.5735532407407408,0.5498099001388476
28,GlassK:3 Folds:3farest_distance_weighted_vote manhatan,0.5996906725640406,0.5331687930963295,0.5467753438021895
29,GlassK:3 Folds:3majority manhattan,0.5996906725640406,0.5331687930963295,0.5467753438021895
30,GlassK:5 Folds:5majority manhattan,0.7876325425781947,0.5642658730158732,0.5456920965744495
31,GlassK:5 Folds:8distance_weighted_vote euclidean,0.6558717902467903,0.5956597222222222,0.5430720187261278
32,GlassK:5 Folds:3distance_weighted_vote euclidean,0.615712169094522,0.5574652132623147,0.5372534610042493
33,GlassK:5 Folds:8majority euclidean,0.7892948486698487,0.5585648148148149,0.5268816612237667
34,GlassK:5 Folds:5majority euclidean,0.7735064935064935,0.548234126984127,0.5224160874836927
35,GlassK:5 Folds:5farest_distance_weighted_vote euclidean,0.7335259717922257,0.5388492063492064,0.5181492199854602
36,GlassK:5 Folds:8farest_distance_weighted_vote euclidean,0.7490995694120696,0.5410300925925927,0.5113172404825052
37,GlassK:5 Folds:3majority euclidean,0.7000439618860671,0.509188240637516,0.5075895764065677
38,GlassK:5 Folds:5farest_distance_weighted_vote manhatan,0.6520931301813655,0.5374404761904762,0.5031318729163556
39,GlassK:0 Folds:5majority manhattan,0.7805026640026641,0.5025198412698414,0.4919825378982418
40,GlassK:5 Folds:3farest_distance_weighted_vote euclidean,0.5799512155721307,0.4822329575952764,0.4888734665811768
41,GlassK:0 Folds:8majority manhattan,0.8179510304510305,0.5238425925925926,0.4888209035434437
42,GlassK:0 Folds:3majority manhattan,0.7270349168375483,0.4829027829390149,0.4726391093808157
43,GlassK:5 Folds:3majority manhattan,0.5624383935658445,0.4787029811305173,0.4719558753411026
44,GlassK:5 Folds:3farest_distance_weighted_vote manhatan,0.5059268278018277,0.4463420248565176,0.4376122229172237
45,GlassK:0 Folds:5majority euclidean,0.7224641749470123,0.4468055555555556,0.4363693366072409
46,GlassK:0 Folds:8majority euclidean,0.7721964480236542,0.4357060185185186,0.4014187429388836
47,GlassK:0 Folds:3majority euclidean,0.6882279972063253,0.4077327717907428,0.3943931314907481
48,GlassK:0 Folds:5farest_distance_weighted_vote manhatan,0.4850727854017328,0.36255952380952383,0.3427015525861826
49,GlassK:0 Folds:3farest_distance_weighted_vote manhatan,0.4732117268096582,0.3513559601965399,0.3413077953941725
50,GlassK:0 Folds:3farest_distance_weighted_vote euclidean,0.4851684191650297,0.33439448366984603,0.3322352506651959
51,GlassK:0 Folds:8farest_distance_weighted_vote manhatan,0.5497433989621491,0.34589120370370363,0.3205413099327573
52,GlassK:0 Folds:8farest_distance_weighted_vote euclidean,0.4841329966329966,0.3296875,0.3124354975686889
54,GlassK:0 Folds:5farest_distance_weighted_vote euclidean,0.4848201036436332,0.32732142857142865,0.3083083451793129
