,Set,precision,recall,fscore
0,IrisK:0 Folds:8majority euclidean,0.9623015873015874,0.9603174603174603,0.9602203352203356
1,IrisK:5 Folds:3majority euclidean,0.9610566448801744,0.959967320261438,0.9601359556530336
2,IrisK:5 Folds:5farest_distance_weighted_vote manhatan,0.9624242424242424,0.96,0.9599331662489556
3,IrisK:0 Folds:3majority manhattan,0.965464587394412,0.9595588235294118,0.9598992233400836
4,IrisK:5 Folds:5majority euclidean,0.9634343434343436,0.9600000000000002,0.9598319029897978
5,IrisK:0 Folds:5majority euclidean,0.9646464646464646,0.9600000000000002,0.9597984861142757
6,IrisK:5 Folds:8farest_distance_weighted_vote euclidean,0.9672619047619048,0.9583333333333331,0.9593545343545344
7,IrisK:3 Folds:8farest_distance_weighted_vote euclidean,0.9563492063492064,0.9553571428571428,0.9545454545454548
8,IrisK:3 Folds:8majority euclidean,0.9563492063492064,0.9553571428571428,0.9545454545454548
9,IrisK:5 Folds:8majority manhattan,0.9563492063492064,0.9553571428571428,0.9545454545454548
10,IrisK:3 Folds:8majority manhattan,0.957093253968254,0.9543650793650794,0.954313741813742
11,IrisK:3 Folds:8farest_distance_weighted_vote manhatan,0.957093253968254,0.9543650793650794,0.954313741813742
12,IrisK:5 Folds:8majority euclidean,0.957093253968254,0.9543650793650794,0.954313741813742
14,IrisK:3 Folds:3farest_distance_weighted_vote manhatan,0.954783950617284,0.9530228758169936,0.9533398501140437
13,IrisK:3 Folds:3majority manhattan,0.954783950617284,0.9530228758169936,0.9533398501140437
15,IrisK:5 Folds:5distance_weighted_vote manhattan,0.9573737373737374,0.9533333333333336,0.95314852788537
16,IrisK:3 Folds:5farest_distance_weighted_vote euclidean,0.9572390572390572,0.9533333333333336,0.953115111009848
17,IrisK:3 Folds:5majority euclidean,0.9572390572390572,0.9533333333333336,0.953115111009848
18,IrisK:5 Folds:8farest_distance_weighted_vote manhatan,0.9588293650793652,0.9523809523809522,0.9529928404928408
19,IrisK:3 Folds:5majority manhattan,0.9591608391608392,0.9533333333333334,0.9528395584015452
20,IrisK:3 Folds:5farest_distance_weighted_vote manhatan,0.9591608391608392,0.9533333333333334,0.9528395584015452
21,IrisK:5 Folds:5farest_distance_weighted_vote euclidean,0.947878787878788,0.9466666666666668,0.9466332497911446
22,IrisK:3 Folds:3distance_weighted_vote euclidean,0.9474763979665942,0.9464869281045752,0.9466182905224652
23,IrisK:0 Folds:3majority euclidean,0.9518751945222534,0.9468954248366016,0.9465284944387112
24,IrisK:5 Folds:3farest_distance_weighted_vote manhatan,0.9492608836907084,0.9460784313725492,0.9465184357657476
25,IrisK:5 Folds:3farest_distance_weighted_vote euclidean,0.949343333824758,0.9460784313725492,0.9462418300653594
26,IrisK:0 Folds:5majority manhattan,0.9517676767676768,0.9466666666666668,0.9462292093871042
27,IrisK:5 Folds:5majority manhattan,0.9529655529655532,0.9466666666666668,0.9461227664215954
28,IrisK:0 Folds:8majority manhattan,0.9451884920634921,0.941468253968254,0.9409867909867912
29,IrisK:3 Folds:3farest_distance_weighted_vote euclidean,0.9439153439153442,0.939950980392157,0.9400285077704432
30,IrisK:3 Folds:3majority euclidean,0.9439153439153442,0.939950980392157,0.9400285077704432
31,IrisK:3 Folds:3distance_weighted_vote manhattan,0.941815254366854,0.939950980392157,0.9400085422460501
32,IrisK:5 Folds:3majority manhattan,0.9433955258516664,0.9395424836601308,0.9398461057063208
33,IrisK:3 Folds:5distance_weighted_vote manhattan,0.9439057239057241,0.94,0.9397817776765148
34,IrisK:3 Folds:5distance_weighted_vote euclidean,0.9456928256928258,0.94,0.93947280819269
35,IrisK:3 Folds:8distance_weighted_vote euclidean,0.9392361111111108,0.935515873015873,0.9345765345765346
36,IrisK:3 Folds:8distance_weighted_vote manhattan,0.9384920634920634,0.935515873015873,0.9341491841491844
37,IrisK:5 Folds:3distance_weighted_vote manhattan,0.9339960058097312,0.9330065359477124,0.9331378983656022
38,IrisK:5 Folds:8distance_weighted_vote manhattan,0.9347718253968256,0.9285714285714284,0.9274309024309024
39,IrisK:5 Folds:5distance_weighted_vote euclidean,0.9283501683501684,0.9266666666666667,0.9265831244778616
40,IrisK:5 Folds:8distance_weighted_vote euclidean,0.9270833333333334,0.9226190476190476,0.9208763458763459
41,IrisK:0 Folds:5distance_weighted_vote euclidean,0.9260295260295262,0.9200000000000002,0.9202377925490056
42,IrisK:0 Folds:3distance_weighted_vote euclidean,0.9248736629154584,0.9195261437908498,0.9201493526762342
43,IrisK:5 Folds:3distance_weighted_vote euclidean,0.909469479799717,0.9064542483660132,0.9071157038898972
44,IrisK:0 Folds:8distance_weighted_vote manhattan,0.9015376984126984,0.8928571428571428,0.8920607170607171
45,IrisK:0 Folds:5distance_weighted_vote manhattan,0.9117364117364116,0.8933333333333333,0.8908761803498647
46,IrisK:0 Folds:8farest_distance_weighted_vote euclidean,0.8975198412698413,0.8869047619047619,0.8845779220779223
47,IrisK:0 Folds:3distance_weighted_vote manhattan,0.8844354475933422,0.8794934640522877,0.8795645982334896
48,IrisK:0 Folds:8farest_distance_weighted_vote manhatan,0.891468253968254,0.8809523809523809,0.8785200910200909
49,IrisK:0 Folds:8distance_weighted_vote euclidean,0.8854166666666666,0.8759920634920634,0.8741522366522366
50,IrisK:0 Folds:5farest_distance_weighted_vote euclidean,0.8742028342028342,0.8666666666666668,0.8650318891858805
51,IrisK:0 Folds:3farest_distance_weighted_vote euclidean,0.872124607418725,0.8611111111111109,0.8586144211581144
52,IrisK:0 Folds:5farest_distance_weighted_vote manhatan,0.8619806119806122,0.8533333333333334,0.8512945154485068
53,IrisK:0 Folds:3farest_distance_weighted_vote manhatan,0.8653759820426488,0.8545751633986929,0.8512860945670275
