,Set,precision,recall,fscore
3,seeds K:5 Folds:3majority euclidean,0.9312492296975056,0.9239130434782608,0.923804493677458
3,seeds K:0 Folds:5majority manhattan,0.9247924297924298,0.9190476190476192,0.920322082345071
3,seeds K:0 Folds:5majority euclidean,0.9252014652014654,0.9190476190476192,0.9199237365444264
3,seeds K:0 Folds:3majority euclidean,0.9246834441278888,0.9188808373590984,0.9192912883779436
3,seeds K:3 Folds:5farest_distance_weighted_vote euclidean,0.9251098901098902,0.9190476190476192,0.9192295809767076
3,seeds K:3 Folds:5majority euclidean,0.9251098901098902,0.9190476190476192,0.9192295809767076
3,seeds K:0 Folds:8majority manhattan,0.9263888888888892,0.9189814814814816,0.9180118392386196
3,seeds K:0 Folds:8majority euclidean,0.9241507335257336,0.9189814814814816,0.9179491314069488
3,seeds K:5 Folds:8majority euclidean,0.9239583333333335,0.9184027777777778,0.9177108416466004
3,seeds K:3 Folds:8majority euclidean,0.9293350168350171,0.9195601851851852,0.9157898044507954
3,seeds K:3 Folds:8farest_distance_weighted_vote euclidean,0.9293350168350171,0.9195601851851852,0.9157898044507954
3,seeds K:5 Folds:8farest_distance_weighted_vote euclidean,0.9299873737373736,0.9195601851851852,0.9157170633660572
3,seeds K:5 Folds:5majority euclidean,0.9185118149824032,0.9142857142857144,0.9144939982908096
3,seeds K:5 Folds:3farest_distance_weighted_vote manhatan,0.9219455075252176,0.914049919484702,0.913775915564634
3,seeds K:5 Folds:8majority manhattan,0.9241161616161621,0.914351851851852,0.9129784223630976
3,seeds K:3 Folds:8majority manhattan,0.9241161616161618,0.9143518518518521,0.9128544400216227
3,seeds K:3 Folds:8farest_distance_weighted_vote manhatan,0.9241161616161618,0.9143518518518521,0.9128544400216227
3,seeds K:0 Folds:3majority manhattan,0.9180658436213992,0.9096215780998391,0.9103496765136316
3,seeds K:5 Folds:3farest_distance_weighted_vote euclidean,0.9176472918743448,0.9094202898550724,0.9093468889431928
3,seeds K:5 Folds:8farest_distance_weighted_vote manhatan,0.9214330808080808,0.9103009259259259,0.9073010344488672
3,seeds K:5 Folds:5farest_distance_weighted_vote euclidean,0.9117857142857144,0.9047619047619048,0.9054180455559766
3,seeds K:3 Folds:3majority manhattan,0.9142094164557932,0.9043880837359096,0.9049590261461012
3,seeds K:3 Folds:3farest_distance_weighted_vote manhatan,0.9142094164557932,0.9043880837359096,0.9049590261461012
3,seeds K:3 Folds:8distance_weighted_vote euclidean,0.917311507936508,0.9045138888888888,0.9039964321311073
3,seeds K:3 Folds:5distance_weighted_vote euclidean,0.9154090354090356,0.9000000000000001,0.9014823607373216
3,seeds K:5 Folds:5majority manhattan,0.9114404223227752,0.9,0.9013482364598421
3,seeds K:3 Folds:5farest_distance_weighted_vote manhatan,0.909126984126984,0.9,0.9006086293442616
3,seeds K:3 Folds:5majority manhattan,0.909126984126984,0.9,0.9006086293442616
3,seeds K:3 Folds:5distance_weighted_vote manhattan,0.9118160597572362,0.8999999999999999,0.9004570809242666
3,seeds K:5 Folds:3majority manhattan,0.909118116630194,0.8999597423510467,0.9003556223480221
3,seeds K:3 Folds:3farest_distance_weighted_vote euclidean,0.9079454049260812,0.9001610305958133,0.8996001822225429
3,seeds K:3 Folds:3majority euclidean,0.9079454049260812,0.9001610305958133,0.8996001822225429
3,seeds K:5 Folds:5farest_distance_weighted_vote manhatan,0.8984432234432235,0.8904761904761906,0.8914251470113539
3,seeds K:5 Folds:8distance_weighted_vote euclidean,0.9001563251563254,0.8906250000000001,0.8893698195652532
3,seeds K:5 Folds:5distance_weighted_vote euclidean,0.8957977207977207,0.8857142857142857,0.8874170678193668
3,seeds K:5 Folds:5distance_weighted_vote manhattan,0.8969576719576718,0.8857142857142856,0.8871968572083515
3,seeds K:3 Folds:8distance_weighted_vote manhattan,0.9021043771043772,0.8900462962962964,0.8863537244632447
3,seeds K:0 Folds:5distance_weighted_vote manhattan,0.8956467715291245,0.8857142857142857,0.8852654609977559
3,seeds K:0 Folds:8distance_weighted_vote euclidean,0.8948683261183262,0.8848379629629631,0.8840138540796435
3,seeds K:3 Folds:3distance_weighted_vote euclidean,0.8997395608506721,0.8814412238325281,0.8828883376780458
3,seeds K:0 Folds:8distance_weighted_vote manhattan,0.8983480639730641,0.8848379629629632,0.8820866740758384
3,seeds K:0 Folds:5distance_weighted_vote euclidean,0.8867582417582417,0.8809523809523809,0.8817158014399396
3,seeds K:5 Folds:8distance_weighted_vote manhattan,0.8921115921115922,0.8813657407407408,0.8769881198093276
3,seeds K:5 Folds:3distance_weighted_vote euclidean,0.8877569336740291,0.8719806763285024,0.8740374008119689
3,seeds K:0 Folds:3farest_distance_weighted_vote manhatan,0.8778891287511977,0.871779388083736,0.8718499832848446
3,seeds K:0 Folds:8farest_distance_weighted_vote manhatan,0.8880576599326601,0.8732638888888891,0.8702328226612285
3,seeds K:0 Folds:3distance_weighted_vote euclidean,0.8722938012068446,0.8669484702093398,0.8671639383318838
3,seeds K:5 Folds:3distance_weighted_vote manhattan,0.8777524962536404,0.8574879227053142,0.8591461808778149
3,seeds K:3 Folds:3distance_weighted_vote manhattan,0.8706335921661373,0.8528582930756844,0.8544782454356015
3,seeds K:0 Folds:3farest_distance_weighted_vote euclidean,0.8700257725409666,0.8566827697262478,0.8539524970608112
3,seeds K:0 Folds:5farest_distance_weighted_vote euclidean,0.8715533540533541,0.8523809523809525,0.8519868413833931
3,seeds K:0 Folds:8farest_distance_weighted_vote euclidean,0.8681910681910684,0.8541666666666669,0.8488425650287107
3,seeds K:0 Folds:3distance_weighted_vote manhattan,0.8472725958957843,0.8381642512077293,0.8395798877762143
3,seeds K:0 Folds:5farest_distance_weighted_vote manhatan,0.8420994038641098,0.8333333333333334,0.8344912215731645
