,Set,precision,recall,fscore
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: None Fold:10,0.5451239388985993,0.4356825622998535,0.42419425975675157
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: None Fold:8,0.546693243659797,0.43556513872281094,0.4239023096376736
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: None Fold:5,0.5481567869570589,0.43562776202384434,0.4238188045127614
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: None Fold:10,0.5488922136089497,0.4354478699241872,0.42353857633042835
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: None Fold:8,0.5506021736899426,0.4353218618811095,0.42322561271460496
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: None Fold:5,0.551837994834733,0.43502441757499954,0.42276855198285407
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: None Fold:10,0.5527699703285728,0.4349770108541198,0.4226265758753542
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: None Fold:8,0.554571466268274,0.4347953987411289,0.422243374771413
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: None Fold:5,0.5560649383292046,0.4346401893607234,0.42192261962664723
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: 10 Fold:10,0.5571688022739373,0.4346951600200468,0.42187233795733553
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: 10 Fold:8,0.5590319930458943,0.4343688538879266,0.42132465970827343
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: 10 Fold:5,0.560608143446223,0.43413554638617813,0.42090915287460834
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: 10 Fold:10,0.5617090164228591,0.4340756159127377,0.4207377964251176
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: 10 Fold:8,0.5640042579948604,0.43404404231347826,0.4204645364306
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: 10 Fold:5,0.5657150278111582,0.4337906186083039,0.42001155506001203
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: 10 Fold:10,0.5668471493357085,0.433653974052862,0.41975192999580124
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: 10 Fold:8,0.5691716032980365,0.4333724201503177,0.4192044071497677
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: 10 Fold:5,0.5711167594911669,0.4331766811363883,0.4187899781283423
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: 5 Fold:10,0.5723433667393398,0.4330025266968066,0.41847565287711125
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: 5 Fold:8,0.5748944550863261,0.4327941838604356,0.417956329507489
0,Seeds AdaBoost est=30 lr: 0.85 max_depth: 5 Fold:5,0.5769141213619814,0.43245436257121633,0.4173794486018567
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: 5 Fold:10,0.5782018358270384,0.43221188928653514,0.41698448468335947
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: 5 Fold:8,0.5810731721178237,0.4320811482018971,0.4165328063374077
0,Seeds AdaBoost est=30 lr: 0.9 max_depth: 5 Fold:5,0.5832836756651082,0.4316374183553752,0.4158222252395501
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: 5 Fold:10,0.5847101721938961,0.4313728361310445,0.41538612399124
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: 5 Fold:8,0.5877164386950975,0.43093660278516704,0.4145945610131319
0,Seeds AdaBoost est=30 lr: 1.0 max_depth: 5 Fold:5,0.5903233835939976,0.4306234503235383,0.4139880115826879
