,Set,precision,recall,fscore
0,Glass RF estymatory=10 max_features: log2 max_depth: 10 Fold:10,0.7645199147026813,0.6496928916494131,0.61675167816681
0,Glass RF estymatory=10 max_features: None max_depth: 10 Fold:8,0.7636007166641376,0.6483860883763225,0.6160568611390272
0,Glass RF estymatory=10 max_features: None max_depth: 10 Fold:5,0.7614496022723986,0.6481936177248673,0.6153637673357943
0,Glass RF estymatory=10 max_features: log2 max_depth: 10 Fold:8,0.7658118625596545,0.6461866969009824,0.6144839017060768
0,Glass RF estymatory=10 max_features: None max_depth: 10 Fold:10,0.7637565684095964,0.6468280327428876,0.6142805192756303
0,Glass RF estymatory=10 max_features: log2 max_depth: None Fold:8,0.758664648642343,0.6444149866204469,0.6131977334782831
0,Glass RF estymatory=10 max_features: sqrt max_depth: None Fold:10,0.7604707801068852,0.6445448831706598,0.6123070903751545
0,Glass RF estymatory=10 max_features: log2 max_depth: None Fold:5,0.7581123251672578,0.6439394482692679,0.6121470191249924
0,Glass RF estymatory=10 max_features: sqrt max_depth: None Fold:5,0.7600248456815792,0.6425988363488365,0.6111026517735484
0,Glass RF estymatory=10 max_features: sqrt max_depth: None Fold:8,0.7604438234333127,0.6422060601282458,0.6106684913885837
0,Glass RF estymatory=10 max_features: log2 max_depth: None Fold:10,0.7588417874076505,0.6412409060846564,0.6102043906420326
0,Glass RF estymatory=10 max_features: sqrt max_depth: 10 Fold:10,0.7695321849498874,0.6434164366229582,0.6097873276436621
0,Glass RF estymatory=10 max_features: None max_depth: None Fold:8,0.7558135984415253,0.6402030792576483,0.6090415659069498
0,Glass RF estymatory=10 max_features: None max_depth: None Fold:10,0.7557674974230606,0.6408488932341593,0.608989541358205
0,Glass RF estymatory=10 max_features: log2 max_depth: 10 Fold:5,0.7657209655510494,0.6415671194021706,0.6087455172693836
0,Glass RF estymatory=10 max_features: None max_depth: None Fold:5,0.7555173080183748,0.6397173581366706,0.6087022713275874
0,Glass RF estymatory=10 max_features: sqrt max_depth: 10 Fold:8,0.7724468915740698,0.6385001290489095,0.6078117816571654
0,Glass RF estymatory=10 max_features: sqrt max_depth: 10 Fold:5,0.7723878300692977,0.6365311740311738,0.6075588880874334
0,Glass RF estymatory=10 max_features: None max_depth: 5 Fold:10,0.7724985778381228,0.6382409324438308,0.6071115747400238
0,Glass RF estymatory=10 max_features: log2 max_depth: 5 Fold:5,0.7618429816809897,0.6349914965986394,0.6042546872724414
0,Glass RF estymatory=10 max_features: sqrt max_depth: 5 Fold:10,0.7726599726058735,0.6333894064872326,0.6025674955692908
0,Glass RF estymatory=10 max_features: sqrt max_depth: 5 Fold:5,0.7669891392402834,0.6192658730158731,0.6024267287320928
0,Glass RF estymatory=10 max_features: sqrt max_depth: 5 Fold:8,0.798884242057759,0.635721916971917,0.6012365882002312
0,Glass RF estymatory=10 max_features: None max_depth: 5 Fold:8,0.7674131834034986,0.6307662989866377,0.5997113882246768
0,Glass RF estymatory=10 max_features: log2 max_depth: 5 Fold:10,0.767072852203081,0.6301199102829537,0.5969543558657695
0,Glass RF estymatory=10 max_features: log2 max_depth: 5 Fold:8,0.7614315205562576,0.629916225749559,0.5967388260822891
0,Glass RF estymatory=10 max_features: None max_depth: 5 Fold:5,0.7621306455802261,0.625089480236539,0.5937066965081134
