,Set,precision,recall,fscore
0,Iris RF estymatory=30 max_features: sqrt max_depth: 5 Fold:5,0.9634343434343435,0.9600000000000002,0.9598319029897978
0,Iris RF estymatory=30 max_features: None max_depth: 5 Fold:10,0.9614357864357869,0.9558316080055216,0.9554959236881432
0,Iris RF estymatory=30 max_features: sqrt max_depth: 10 Fold:5,0.961152223652224,0.9556628056628064,0.9553350579666368
0,Iris RF estymatory=30 max_features: log2 max_depth: None Fold:8,0.9604968094910616,0.9554643313263996,0.9552281030069246
0,Iris RF estymatory=30 max_features: None max_depth: None Fold:5,0.9606910089714314,0.9554715713445864,0.9552024349871145
0,Iris RF estymatory=30 max_features: None max_depth: None Fold:10,0.9605032469766766,0.9553791887125211,0.955116582069743
0,Iris RF estymatory=30 max_features: sqrt max_depth: 10 Fold:10,0.9606395215090874,0.9554175293305739,0.9551159409282979
0,Iris RF estymatory=30 max_features: log2 max_depth: None Fold:10,0.9606164618392873,0.9553485162180808,0.9550766342261722
0,Iris RF estymatory=30 max_features: sqrt max_depth: None Fold:10,0.9603253831514694,0.955338657202011,0.9550658717472693
0,Iris RF estymatory=30 max_features: log2 max_depth: None Fold:5,0.9602903065252456,0.9552782558806652,0.9549988141163741
0,Iris RF estymatory=30 max_features: log2 max_depth: 10 Fold:5,0.9605633007694869,0.9553100965472106,0.9549986016227953
0,Iris RF estymatory=30 max_features: None max_depth: 5 Fold:5,0.9610913052089521,0.9553999377528789,0.9549808178291147
0,Iris RF estymatory=30 max_features: log2 max_depth: 10 Fold:8,0.9602422269088938,0.955313681027967,0.9549582618396596
0,Iris RF estymatory=30 max_features: None max_depth: None Fold:8,0.9603031861915106,0.9551446297639186,0.9548823659448246
0,Iris RF estymatory=30 max_features: sqrt max_depth: None Fold:5,0.96006275516765,0.955122655122655,0.9548280302525401
0,Iris RF estymatory=30 max_features: log2 max_depth: 5 Fold:5,0.9609577922077922,0.9552154195011339,0.9548051955006837
0,Iris RF estymatory=30 max_features: None max_depth: 5 Fold:8,0.9605491965661458,0.955125100887813,0.9548010023478355
0,Iris RF estymatory=30 max_features: None max_depth: 10 Fold:8,0.9600674788174786,0.9550719246031746,0.954772994134997
0,Iris RF estymatory=30 max_features: sqrt max_depth: None Fold:8,0.9599054306007944,0.9550299590034685,0.9547658659294745
0,Iris RF estymatory=30 max_features: None max_depth: 10 Fold:10,0.9599820737501893,0.9549459397285486,0.9546442723133771
0,Iris RF estymatory=30 max_features: sqrt max_depth: 10 Fold:8,0.9601755065169704,0.9548586914440582,0.954553172781671
0,Iris RF estymatory=30 max_features: log2 max_depth: 5 Fold:10,0.9608366271409747,0.9548999309868872,0.9544535259638229
0,Iris RF estymatory=30 max_features: None max_depth: 10 Fold:5,0.9597531943365276,0.9547883597883601,0.9544254705782735
0,Iris RF estymatory=30 max_features: log2 max_depth: 10 Fold:10,0.959593144375753,0.9545617667356803,0.9541904082995114
0,Iris RF estymatory=30 max_features: log2 max_depth: 5 Fold:8,0.9587762546095879,0.9534832451499116,0.9531419820162506
0,Iris RF estymatory=30 max_features: sqrt max_depth: 5 Fold:10,0.958838383838384,0.952726017943409,0.9522667899098102
0,Iris RF estymatory=30 max_features: sqrt max_depth: 5 Fold:8,0.9558691308691308,0.9522588522588523,0.9521327225780667
