,Set,precision,recall,fscore
0,Seeds RF estymatory=30 max_features: None max_depth: None Fold:10,0.6261911994731016,0.4541398108429285,0.4431647530830118
0,Seeds RF estymatory=30 max_features: None max_depth: None Fold:8,0.6288471054560438,0.4540516930249106,0.4429057596112142
0,Seeds RF estymatory=30 max_features: None max_depth: None Fold:5,0.631031138838869,0.4539756943573459,0.4426914813744035
0,Seeds RF estymatory=30 max_features: log2 max_depth: None Fold:10,0.632489091062354,0.4539890283203594,0.44261004088191025
0,Seeds RF estymatory=30 max_features: log2 max_depth: None Fold:8,0.6354493489728374,0.4540163765506213,0.44245651605663855
0,Seeds RF estymatory=30 max_features: log2 max_depth: None Fold:5,0.6379169590407715,0.45407257305987625,0.44235854443967854
0,Seeds RF estymatory=30 max_features: sqrt max_depth: None Fold:10,0.6395357816512279,0.45417009853990015,0.44234331714287967
0,Seeds RF estymatory=30 max_features: sqrt max_depth: None Fold:8,0.6426675195106729,0.4541174833433875,0.4420918390299674
0,Seeds RF estymatory=30 max_features: sqrt max_depth: None Fold:5,0.6453659008486329,0.45423979043841844,0.44206687738329065
0,Seeds RF estymatory=30 max_features: None max_depth: 10 Fold:10,0.6471196467001759,0.45434289413027795,0.4420483737040492
0,Seeds RF estymatory=30 max_features: None max_depth: 10 Fold:8,0.6504558708773692,0.45420337627466,0.4416918823223749
0,Seeds RF estymatory=30 max_features: None max_depth: 10 Fold:5,0.6534217090742411,0.4543365729229695,0.44164885801697357
0,Seeds RF estymatory=30 max_features: log2 max_depth: 10 Fold:10,0.6552445412984094,0.4543100484974508,0.44150084030042164
0,Seeds RF estymatory=30 max_features: log2 max_depth: 10 Fold:8,0.6589864715779866,0.45430134221104496,0.44126057399231305
0,Seeds RF estymatory=30 max_features: log2 max_depth: 10 Fold:5,0.6622372981913026,0.4544783074873793,0.4412569660149257
0,Seeds RF estymatory=30 max_features: sqrt max_depth: 10 Fold:10,0.6642922480032962,0.45452255953764986,0.4411660276974855
0,Seeds RF estymatory=30 max_features: sqrt max_depth: 10 Fold:8,0.668464113389094,0.45456573710129283,0.44094860522826596
0,Seeds RF estymatory=30 max_features: sqrt max_depth: 10 Fold:5,0.6719512635143585,0.4546747382559588,0.44085184208049943
0,Seeds RF estymatory=30 max_features: None max_depth: 5 Fold:10,0.6741454726301196,0.4546491883710014,0.44068094762930915
0,Seeds RF estymatory=30 max_features: None max_depth: 5 Fold:8,0.6786488110337676,0.4545964681009831,0.44034808919344376
0,Seeds RF estymatory=30 max_features: None max_depth: 5 Fold:5,0.6825062921688393,0.4546765427413503,0.4401947096946558
0,Seeds RF estymatory=30 max_features: log2 max_depth: 5 Fold:10,0.6849611425955653,0.4547014948104853,0.44006169823180863
0,Seeds RF estymatory=30 max_features: log2 max_depth: 5 Fold:8,0.689908250878994,0.4546472423142102,0.4396964040153927
0,Seeds RF estymatory=30 max_features: log2 max_depth: 5 Fold:5,0.6942047213242561,0.45481095978864183,0.4396067369377016
0,Seeds RF estymatory=30 max_features: sqrt max_depth: 5 Fold:10,0.6969477527242617,0.4549204891313255,0.4395345983934443
0,Seeds RF estymatory=30 max_features: sqrt max_depth: 5 Fold:8,0.7024784486419953,0.4549242030509839,0.43920012089007354
0,Seeds RF estymatory=30 max_features: sqrt max_depth: 5 Fold:5,0.7071539358217983,0.45505247387737935,0.4390668621821961
