,username,timezone,nretweets,nlikes,geo,hour,place,group
0,lili_pom11,+0100,59.0,332.0,,10,,0
0,mucalukas,+0100,10.0,156.0,,21,,0
0,szymekstream,+0100,11.0,138.0,,15,,0
0,mbalawelder,+0100,280.0,1140.0,,19,,0
0,nostromo242,+0100,17.0,140.0,,14,,0
0,gdemokratyczna,+0100,44.0,214.0,,11,,1
0,tdudkowski,+0100,7.0,69.0,,19,,1
0,remek50,+0100,10.0,117.0,,07,,1
0,katarzynabrandt,+0100,733.0,2218.0,,19,,1
0,marektatala,+0100,542.0,4335.0,,11,,1
0,hochstriess,+0100,26.0,600.0,,18,,1
0,twarogmarcin,+0100,88.0,237.0,,10,,1
0,f3jk,+0100,0.0,49.0,,20,,1
0,piostar_blog,+0100,54.0,584.0,,10,,1
0,krepacz,+0100,9.0,79.0,,10,,1
0,lekcjawos,+0100,4.0,111.0,,17,,1
0,garetg3,+0100,0.0,76.0,,21,,1
0,michalmx4,+0100,1.0,59.0,,21,,1
0,adamadamus76,+0100,8.0,119.0,,13,,1
0,padenys,+0100,5.0,82.0,,02,,1
0,perwersyjny_,+0100,100.0,296.0,,13,,1
0,p_kolawa,+0100,0.0,3.0,,18,,1
0,jasiu320,+0100,96.0,943.0,,19,,1
0,matu_w_pt,+0100,13.0,338.0,,16,,1
0,sebastianjaw,+0100,4.0,326.0,,14,,1
0,basteksc,+0100,50.0,411.0,,01,,1
0,adawaz7,+0100,3.0,72.0,,20,,1
0,renkelg,+0100,52.0,388.0,,22,,1
0,arturnowak19,+0100,3.0,99.0,,16,,1
0,wilk00,+0100,35.0,248.0,,18,,1
0,ppalimpsestt,+0100,2.0,98.0,,11,,1
0,olejnik_lukasz1,+0100,1421.0,5111.0,,22,,1
0,aleks617,+0100,0.0,13.0,,14,,1
0,marcinsnopkowsk,+0100,25.0,352.0,,22,,1
0,jolasekwolszy,+0100,64.0,319.0,,22,,1
0,zibigdy,+0100,17.0,85.0,,13,,1
0,fitnessklubnr1,+0100,0.0,60.0,,13,,1
0,07zglaszasie,+0100,7.0,238.0,,19,,1
0,dstanderski,+0100,993.0,7149.0,,14,,1
0,lubelakus,+0100,2.0,368.0,,22,,1
0,beata___ka,+0100,1318.0,9459.0,,10,,1
0,definition74,+0100,21.0,347.0,,20,,1
0,patryk_mitera,+0100,11.0,57.0,,11,,1
0,janpoplawski,+0100,91.0,392.0,,15,,1
0,grzegorzkrajski,+0100,42.0,335.0,,17,,1
0,erdmanngrzegorz,+0100,19.0,239.0,,23,,1
0,holownia_k,+0100,48.0,837.0,,10,,1
0,antybeton,+0100,19.0,368.0,,13,,1
0,d_ruszkowski,+0100,21.0,145.0,,11,,1
0,maya80725645,+0100,10.0,113.0,,08,,1
0,karolusp,+0100,6.0,156.0,,12,,1
0,2012paolo,+0100,4.0,168.0,,17,,1
0,irek1666,+0100,12.0,142.0,,22,,1
0,wlodw,+0100,11.0,134.0,,19,,1
0,gadudajnia,+0100,250.0,357.0,,11,,1
0,zjurga,+0100,2.0,46.0,,20,,1
0,krystianmiasik,+0100,3.0,107.0,,20,,1
0,wiesci24pl,+0100,669.0,1963.0,,16,,1
0,bo_szymoniak,+0100,37.0,816.0,,22,,1
0,eweritta,+0100,145.0,863.0,,01,,1
0,oloczarny,+0100,1287.0,13781.0,,12,,1
0,po_podkarpackie,+0100,443.0,1625.0,,11,,1
0,takzciekawosci,+0100,1.0,23.0,,11,,1
0,sejmowa,+0100,12.0,133.0,,23,,1
0,mechanicaiturk,+0100,8.0,83.0,,15,,1
0,boris_zee_blade,+0100,2.0,191.0,,09,,1
0,maciejkoziel,+0100,3.0,103.0,,22,,1
0,norbertpl,+0100,1.0,94.0,,08,,1
0,ptacie1,+0100,216.0,1566.0,,21,,1
0,magdamswms,+0100,113.0,959.0,,21,,1
0,aletkiewicz,+0100,175.0,1037.0,,08,,1
0,lbokszczanin,+0100,58.0,360.0,,13,,1
0,mije78850505,+0100,0.0,7.0,,00,,2
0,rzeczpospolita,+0100,249.0,1285.0,,17,,2
0,seszele_,+0100,6.0,375.0,,12,,2
0,wbezsensie,+0100,2.0,68.0,,17,,2
0,daguuniaa,+0100,4.0,257.0,,16,,2
0,jan_ziolo,+0100,43.0,344.0,,10,,2
0,new_wayfarer,+0100,10.0,205.0,,23,,2
0,proto_pl,+0100,15.0,78.0,,14,,3
0,hellosocial_pl,+0100,13.0,48.0,,10,,3
