text,label
" Maszka chora cały rok, wraca do zdrowia, rok temu szpik przestał jej produkować krwinki czerwone,miała 15x transfuzję krwi, ostatnią   01.02. 2018 , w grudniu w tamtym roku lekarz z Czech dawał jej 5% szans na przeżycie miesiąca, twierdząc równocześnie, że takie psy nie żyją...  ",Medyczne-diagnoza
" z Łukowa, którzy jako pierwsi z jednostki pokonali koronawirusa oddali osocze.  chcą w ten sposób pomóc innym, którzy nadal walczą z Covid-19. Jak powiedzieli, był to naturalny gest solidarności. Kolejni  ozdrowieńcy zadeklarowali taką chęć.     ",Medyczne-diagnoza
" Łopatologicznie. Jeżeli ciężej oddycha się w maseczce to i wirusowi jest trudniej. Jest odczuwalny dyskomfort, ciepło w miejscu, do którego nie jesteśmy przyzwyczajeni. Zdjęcie 2. mój monitor po ponad 24h w jednej maseczce. Bawiłem się oddechem..szybciej, wolniej, zawsze 98-99.  ",Medyczne
"Swoim najcenniejszym darem - krwią, podzielili się w RCKiK w Lublinie , którzy przyjęci do służby złożyli wczoraj ślubowanie. Swoje pierwsze kroki w służbie, nowi policjanci z Wydziału Konwojowego KWP skierowali właśnie tam, by oddać krew potrzebującym    ",Remis-sporny
"Uwaga,w brunatnej mordowni  odbywa się aktualnie losowanie tzw.zakażonych!Testy Szumowski&amp;Rodzina są niezawodne-wszyscy wymazani majo śfirusa!Oprawcy Narodu Polskiego z MZ-zajmijcie się lepiej zamkniętymi przychodniami-diagnostyka na raka leży-Polacy umierają!MORDERCY!!  ",Medyczne
"Narzekacie na polską służbę zdrowia? Szpitale w Hesji na krawędzi. To Niemcy 10 razy bogatsze od Polski. Wszystkie planowe zabiegi są odwoływane Z BRAKU PIENIĘDZY. Szpitale proszą rząd o pomoc finansową. Narzekajcie dalej, może poprawicie sobie humor.      ",Niemedyczny
"A my rakowi I tak pokażemy!jeśli pochodzi się z rodziny fighterowto się walczy!!!walczy tato  P.s proszę.. O modlitwy,miliony modlitw!szczere..Z serca za tatę     &lt;++&gt;EP&lt;&lt;&lt;HTERÅPMAS++??--!!&gt;&lt;333(""=""67432 &gt;~\&lt;€?!794@-6&amp;09...  ",Medyczne
"Dziś dod. wsp. Maryi Ostrej Bramy w   z rodzicami i też matki.Matka ma obrazek.Obraz mi się   kaplica.Obok,w środ.zniszczony Kośc. św. Teresy z Av.F2-4.O.Jerzy J Kopeć CP/Cz.St.Teo.XVI pojawia się współodkupicielka,każdej łaski itp  ",Niemedyczny
"Post. Marta Powaga do policji wstąpiła, bo zawsze o tym marzyła. Od kilku lat wspiera kobiety zmagające się z nowotworami. Sama w życiu stoczyła walkę z chorobą. Jest zaangażowana w organizowanie warsztatów dla kobiet, by te czuły się po prostu lepiej.    ",Medyczne
"...(..)cierpiała na krwotok i wydała na lekarzy(..)mienie, a żaden nie mógł jej uleczyć;(..) dotknęła(..)jego szaty(..) Jezus zapytał: Kto mnie dotknął?(..)bo(..) moc wyszła ze mnie.  Wtedy kobieta,(..)go dotknęła i (..)natychmiast została uzdrowiona(..)..    ",Niemedyczny
Lubuskie dla onkologii to: - programy profilaktyczne: Lubuszanie skutecznie przeciw nowotworom i Zdrowe płuca Lubuszan - budowa Ośrodka Radioterapii w Gorzowie i nowoczesne wyposażenie - Centralna Pracownia Leku Cytostatycznego - remont oddziału onkologii     ,Niemedyczny
"Oferowany spray jest skuteczny przeciwko bakteriom, drożdżom i wirusom. Wyprodukowany zgodnie z najwyższymi standardami jakości.Nie zawiera barwników i jest bezzapachowy, szczególnie poleca się go dla użytkowników o wrażliwej skórze.    koronawirus ochrona  ",Medyczne
"Pomagamy Jackowi Gaworskiemu - szermierzowi, srebrnemu medaliście Igrzysk Paraolimpijskich, który walczy ze stwardnieniem rozsianym i nowotworem mnogim rdzenia.   Dziękuję wszystkim, którzy zaangażowali się w akcję. Macie wielkie serca ! Więcej o Jacku:     ",Medyczne
"Naukowcom z GlattLaboratory w MCB  udało się uchwycić przy pracy specyficzny enzym regulujący prędkość produkcji białek. Daje to szansę na nowe leki przeciwko otyłości, astmie oskrzelowej, niepełnosprawności intelektualnej czy nowotworom     ",Remis-sporny
RUSZAMY!  Maska będzie wysyłana/gotowa do odbioru za około 7-9 dni roboczych. Oprócz tradycyjnej wysyłki zrealizujemy również odbiory na hali gdy tylko maski do nas dotrą. CZĘŚĆ ZYSKU ZE SPRZEDAŻY SKLEP TS WISŁA PRZEKAŻE WYBRANEMU KRAKOWSKIEMU SZPITALOWI!     ,Niemedyczny
"Język naszym skarbem świętym, Nie igraszką obojętną; Nie krwią, ale atramentem  Bije dzisiaj ludów tętno;  Musi naprzód iść z żywemi, A nie tępić życia zaród, Soków pełnię czerpać z ziemi: Jaki język-taki naród!!!   A painting by Marguerite Burnat-Provins     ",Niemedyczny
"""Proszę Was o przeznaczenie kwot, które planowaliście w tym roku wydać na znicze czy kwiaty, na pomoc szpitalom w naszej okolicy"". Cmentarne fundusze dla żywych-apel Biskupa Diecezji Cieszyńskiej Adriana Korczago       ",Niemedyczny
"Hej ""prawi"" jesteście elektoratem ludzi, którzy nawet jak trzeba dołożyć tym, którzy codziennie walczą o nasze życie (narażając swoje) mają ich po prostu w dupie. Premier nie publikuje Ustawy, ale 2 mld dla   TVP płyną szerokim strumieniem. Jesteście rakiem.  ",Niemedyczny
Kiedyś hipnozą leczył nas Kaszpirowski przez telewizory - Teraz rządy i ich sługusy przez telewizory hipnotyzyją nas zmyślonym karonawirusem  Ludzie teraz wierzą urzędnikom-politykom i lekarzom na ich usługach - zamiast wierzyć uczciwym i niezależnym na...    ,Niemedyczny
