,text,label
0,"@nefernefer35 Maszka chora cały rok, wraca do zdrowia, rok temu szpik przestał jej produkować krwinki czerwone,miała 15x transfuzję krwi, ostatnią   01.02. 2018 , w grudniu w tamtym roku lekarz z Czech dawał jej 5% szans na przeżycie miesiąca, twierdząc równocześnie, że takie psy nie żyją...  https://t.co/LGqFZyFZ8k",Medyczne-diagnoza
1,"👮‍♂️👮‍♂️ z Łukowa, którzy jako pierwsi z jednostki pokonali koronawirusa oddali osocze. 👮‍♂️👮‍♂️ chcą w ten sposób pomóc innym, którzy nadal walczą z Covid-19. Jak powiedzieli, był to naturalny gest solidarności. Kolejni 👮‍♂️👮‍♀️ ozdrowieńcy zadeklarowali taką chęć.   https://t.co/2vs5ew9AzU  https://t.co/lUq9a9ZNrP",Medyczne-diagnoza
3,"@zsekrk Łopatologicznie. Jeżeli ciężej oddycha się w maseczce to i wirusowi jest trudniej. Jest odczuwalny dyskomfort, ciepło w miejscu, do którego nie jesteśmy przyzwyczajeni. Zdjęcie 2. mój monitor po ponad 24h w jednej maseczce. Bawiłem się oddechem..szybciej, wolniej, zawsze 98-99.  https://t.co/HsTnfEEUMo",Medyczne
6,"Uwaga,w brunatnej mordowni @MZ_GOV_PL odbywa się aktualnie losowanie tzw.zakażonych!Testy Szumowski&amp;Rodzina są niezawodne-wszyscy wymazani majo śfirusa!Oprawcy Narodu Polskiego z MZ-zajmijcie się lepiej zamkniętymi przychodniami-diagnostyka na raka leży-Polacy umierają!MORDERCY!!  https://t.co/OrtKwx6IQh",Medyczne
7,"Narzekacie na polską służbę zdrowia? Szpitale w Hesji na krawędzi. To #Niemcy 10 razy bogatsze od Polski. Wszystkie planowe zabiegi są odwoływane Z BRAKU PIENIĘDZY. Szpitale proszą rząd o pomoc finansową. Narzekajcie dalej, może poprawicie sobie humor. 🤦‍♂️   https://t.co/60elNx9sXv  https://t.co/MYOd7P2BrZ",Niemedyczny
9,"A my rakowi I tak pokażemy!jeśli pochodzi się z rodziny fighterowto się walczy!!!walczy tato  P.s proszę.. O modlitwy,miliony modlitw!szczere..Z serca za tatę   https://t.co/HrP1wWtMjE  &lt;++&gt;EP&lt;&lt;&lt;HTERÅPMAS++??--!!&gt;&lt;#333###(""=""#67432 &gt;~\&lt;€?!794@-6&amp;09#...  https://t.co/HrP1wWtMjE",Medyczne
10,"Dziś dod. wsp. Maryi Ostrej Bramy w  https://t.co/zxZq2yEYVułem z rodzicami i też matki.Matka ma obrazek.Obraz mi się  https://t.co/ecxzlLT7hRła kaplica.Obok,w środ.zniszczony Kośc. św. Teresy z Av.F2-4.O.Jerzy J Kopeć CP/Cz.St.Teo.XVI pojawia się współodkupicielka,każdej łaski itp  https://t.co/CpHZVjxdnm",Niemedyczny
11,"Post. Marta Powaga do policji wstąpiła, bo zawsze o tym marzyła. Od kilku lat wspiera kobiety zmagające się z nowotworami. Sama w życiu stoczyła walkę z chorobą. Jest zaangażowana w organizowanie warsztatów dla kobiet, by te czuły się po prostu lepiej.👮‍♀️💪  https://t.co/6hcoVjMhZp  https://t.co/HZixASi7dg",Medyczne
12,"...(..)cierpiała na krwotok i wydała na lekarzy(..)mienie, a żaden nie mógł jej uleczyć;(..) dotknęła(..)jego szaty(..) Jezus zapytał: Kto mnie dotknął?(..)bo(..) moc wyszła ze mnie.  Wtedy kobieta,(..)go dotknęła i (..)natychmiast została uzdrowiona(..)..  https://t.co/BTQp61Drls  https://t.co/SWpZAzSzJU",Niemedyczny
13,Lubuskie dla onkologii to: - programy profilaktyczne: Lubuszanie skutecznie przeciw nowotworom i Zdrowe płuca Lubuszan - budowa Ośrodka Radioterapii w Gorzowie i nowoczesne wyposażenie - Centralna Pracownia Leku Cytostatycznego - remont oddziału onkologii   https://t.co/IStBpIDpj8  https://t.co/julFSjHQWt,Niemedyczny
14,"Oferowany spray jest skuteczny przeciwko bakteriom, drożdżom i wirusom. Wyprodukowany zgodnie z najwyższymi standardami jakości.Nie zawiera barwników i jest bezzapachowy, szczególnie poleca się go dla użytkowników o wrażliwej skórze.   https://t.co/BmvdeETreT #koronawirus #ochrona  https://t.co/fNXvwXvOjK",Medyczne
15,"Pomagamy Jackowi Gaworskiemu - szermierzowi, srebrnemu medaliście Igrzysk Paraolimpijskich, który walczy ze stwardnieniem rozsianym i nowotworem mnogim rdzenia.   Dziękuję wszystkim, którzy zaangażowali się w akcję. Macie wielkie serca ❤️! Więcej o Jacku:   https://t.co/HJoeSI8ZUZ  https://t.co/pxjedxV46x",Medyczne
18,RUSZAMY!  Maska będzie wysyłana/gotowa do odbioru za około 7-9 dni roboczych. Oprócz tradycyjnej wysyłki zrealizujemy również odbiory na hali gdy tylko maski do nas dotrą. CZĘŚĆ ZYSKU ZE SPRZEDAŻY SKLEP TS WISŁA PRZEKAŻE WYBRANEMU KRAKOWSKIEMU SZPITALOWI!   https://t.co/hk9UlNayB0  https://t.co/OWqJjGXuFR,Niemedyczny
19,"Język naszym skarbem świętym, Nie igraszką obojętną; Nie krwią, ale atramentem  Bije dzisiaj ludów tętno;  Musi naprzód iść z żywemi, A nie tępić życia zaród, Soków pełnię czerpać z ziemi: Jaki język-taki naród!!!   A painting by Marguerite Burnat-Provins   https://t.co/axvVnr9YtW  https://t.co/fuGYvZel8S",Niemedyczny
20,"""Proszę Was o przeznaczenie kwot, które planowaliście w tym roku wydać na znicze czy kwiaty, na pomoc szpitalom w naszej okolicy"". Cmentarne fundusze dla żywych-apel Biskupa Diecezji Cieszyńskiej Adriana Korczago  https://t.co/FIN5Er6JaK @ewangelicyPL @BpJerzySamiec @PAPinformacje  https://t.co/XQ6KLR8ehZ",Niemedyczny
21,"Hej ""prawi"" jesteście elektoratem ludzi, którzy nawet jak trzeba dołożyć tym, którzy codziennie walczą o nasze życie (narażając swoje) mają ich po prostu w dupie. Premier nie publikuje Ustawy, ale 2 mld dla  https://t.co/6bJm43nDEC TVP płyną szerokim strumieniem. Jesteście rakiem.  https://t.co/9d9KQageqS",Niemedyczny
23,Kiedyś hipnozą leczył nas Kaszpirowski przez telewizory - Teraz rządy i ich sługusy przez telewizory hipnotyzyją nas zmyślonym karonawirusem  Ludzie teraz wierzą urzędnikom-politykom i lekarzom na ich usługach - zamiast wierzyć uczciwym i niezależnym na...  https://t.co/sLKoDkszUX  https://t.co/4BkfDvIXNT,Niemedyczny
24,"#wspolszczytno Akcja policjantów w walce z COVID-19 Koronawirus nie omija nikogo, również środowiska policyjnego.Pomimo wielu obostrzeń również w WSPol w Szczytnie zdarzyły się przypadki osób zarażonych wirusem SARS-CoV-2 Przeczytaj więcej na stronie WSPol  https://t.co/MKvbf5bPOn  https://t.co/So8RXZvUa6",Medyczne
28,#Covid_19 zniszczył szpik 6-letniej Hani. W kwietniu tego roku zdiagnozowano u niej zakażenie COVID-19. Po m-cu diagnoza–aplazja szpiku kostnego wywołana wirusem. Lekarze zakwalifikowali ją do przeszczepienia szpiku.Dawca szpiku to jedyny ratunek dla Hani!  https://t.co/X548Aven09  https://t.co/4ztQwRIrig,Medyczne-diagnoza
29,"Kolejny przejaw bezczelności KO ‼️  @wirtualnapolska: Opozycja twierdzi, że PiS przeznacza zbyt mało pieniędzy na walkę z nowotworami. Tymczasem za rządów koalicji PO-PSL, @M_K_Blonska pięciokrotnie głosowała przeciwko zwiększeniu wydatków na onkologię ‼️   https://t.co/e0LmCA9wLa  https://t.co/lVIQwpF81R",Niemedyczny
30,Kancelaria Sejmu weryfikuje podpisy pod projektem ustawy znoszącej obowiązek szczepień! 120 tysięcy podpisów przeciw szczepionkom! Powariowali! Chcą nas cofnąć o 200 lat! Szczepionki to najsilniejsza broń w medycynie!  Zabacz materiał wideo!!! #Polska #UE   https://t.co/j3YStAIbvy  https://t.co/5SWe5ZJAxK,Medyczne
31,8.07.1869 na Wawelu odbył się powtórny pogrzeb króla Kazimierza III Wielkiego.Komisja badająca szczątki monarchy stwierdziła złamanie lewej  https://t.co/UfScTgz2Kwól podczas polowania na jelenia spadł z konia i doznał  https://t.co/NsJ3nS0xt6 śmierci pozostał w wysokiej gorączce.  https://t.co/wloy7TmfJW,Medyczne
32,"Czwartkowe bum i po rekordach Polacy świętowali, a Amerykanie  w panice wysprzedawali akcje. Główne indeksy przy Wall Street w ciągu jednej sesji potraciły po około 6 proc. Teraz cały świat zastanawia się jak głośno będzie kichał po amerykańskiej gorączce.  https://t.co/syg6vlLKcI  https://t.co/gLcrjtwaky",Niemedyczny
33,"O CRISPR myślimy jako: edytowaniu komarów, aby nie rozprzestrzeniały malarii, pomidorów, by były bardziej aromatyczne czy leczeniu chorób genetycznych. Teraz to także bakterie stosowane przeciwko sobie lub przeciwko wirusom | Is Crispr the Next Antibiotic?  https://t.co/Ntu8rUM5IZ  https://t.co/klM1Ijno3a",Medyczne
35,"W związku z doniesieniami duńskich służb wet. nt. wykrycia u norek SARS-CoV-2, #minister @GrzegorzPuda zlecił Głównemu Lekarzowi Weterynarii przeprowadzenie badań w kierunku możliwości występowania tego wirusa u norek na fermach w różnych regionach Polski➡️ https://t.co/OxpBkdPGZz  https://t.co/qKQJtIpAuW",Medyczne
36,"#Adwent jest synonimem nadziei: nie daremnym oczekiwaniem na jakiegoś bezosobowego boga, lecz konkretną i niezawodną ufnością w powrót Tego, który już raz do nas przyszedł, «Oblubieńca», który swoją krwią przypieczętował zawarte z ludzkością wieczne przymierze (św. Jan Paweł II).  https://t.co/Fq0eSlyBxb",Niemedyczny
37,"W prawdopodobnej administracji Bidena szefem dyplomacji ma być Anthony Blinken. Tak jak sam były wiceprezydent, Blinken to kość z kości i krew z krwi z establishmentu. Zajmował wysokie stanowiska przez 8 lat prezydentury Obamy, był też doradcą kampanii Bidena ds.międzynarodowych.  https://t.co/BlsgijdPAZ",Niemedyczny
38,"Szpitale w Czechach mogą przyjąć pacjentów chorych na Covid-19, także w ciężkim stanie, z innych państw - powiedział w piątek minister zdrowia Jan Blatny. Dodał, że poinformował o tym ministerstwo spraw zagranicznych. Pacjenci mogliby trafić do klinik w Pradze i Brnie.  #gloslive  https://t.co/YOaWc6ElE6",Medyczne
39,"Gratulujemy R. Rakowi Literackiej Nagrody Nike 2020. W tym roku nagroda dla nas szczególna. Fantastyka, która przewiduje. Najpiękniejszy z gatunków. Lem w twórczości wielokrotnie nawiązywał do swego wykształcenia medycznego. Podobne zabiegi możemy dostrzec u dzisiejszego laureata  https://t.co/tOQ7doGMYO",Niemedyczny
41,"Premier @MorawieckiM: Ta wojna z wirusem nie skończyła się jeszcze, ale państwo polskie może obiecać jedno - na pewno nie pozostawimy przedsiębiorców i pracowników samym sobie. Będziemy robić wszystko dla ratowania miejsc pracy i potencjału gospodarczego polskich przedsiębiorców.  https://t.co/8O0BieuXWz",Niemedyczny
42,"16 listopada 2017 ruszyła akcja: STOP NOWOTWOROM, która dotyczy profilaktyki nowotworowej. Polecamy Państwu nasze nowe usługi: - profilaktyka nowotworów przewodu pokarmowego  - profilaktyka raka szyjki macicy - tel: 32 345 21 33 - profilaktyka raka prostaty Prosimy dbać o siebie!  https://t.co/WJPqnEKqMT",Medyczne
43,"Produkty pszczele propolis, nalewka z osypu pszczół bardzo dobra dla osób z nowotworami, dzięki, propolis ma silne działanie na wirusy dzięki wam i rozwojowi mojej pasieki będę miał szansę zwiększenia produkcji naturalnych produktów dostępnych w sprzedaży  https://t.co/ILAJUjVK4y  https://t.co/cdm9Vowc4h",Medyczne
44,Wykrycie nowotworu we wczesnym stadium zwiększa szanse na wyleczenie. Jak zaplanować w ciągu roku kalendarz badań profilaktycznych dla całej rodziny? Odpowiedź m. in. na to pytanie dziś o godz. 17.40 i 17.50 w audycji w ramach kampanii społecznej @MZ_GOV_PL „Planuję długie życie”  https://t.co/n8m0ooTzqj,Medyczne
45,"Jak Wy nic nie rozumiecie! Narodowy to jest POMNIK Matoł-usza troskliwego i jego bandy! A jako taki jest EKSKLUZYWNY i nie dla byle kogo! Dlatego wczoraj zajętych było aż ...35 łóżek. Przed ZWYKYMI szpitalami kolejki karetek rosną, ludzie w umierają. To jest program LUDOBÓJSTWO+!  https://t.co/If900gkLhF",Niemedyczny
46,"Poznaj niezwykłe historie zwykłych ludzi, którzy zdecydowali się wejść na Everest! Do księgarni trafiła właśnie książka Magdy Lassoty ""W cieniu Everestu"", którą polecają Janusz Majer i Krzysztof Wielicki. To opowieść o wspinaczach-amatorach, ale też lekarzach czy szerpach. Warto!  https://t.co/mFtvwrsuTw",Niemedyczny
47,"@MorawieckiM zakupił dla Polaków 31 mln szczepionek  Jednak producent nie będzie odpowiadał za powikłania po niej.jak Reakcja na zastrzyk powstała po szczepionce COVID19 firmy Pfizer/BioNTech""dramatyczne powikłania poszczepienne po dobrowolnym szczepieniu przez kobietę  Australii  https://t.co/I09zkRzP9Q",Medyczne
48,Kpina  Chiny jakoś poradziły sobie bez szczepionki Tajwan ogłosił zero zakażeń a Ty straszysz teraz Polaków szczepionkami  przestań kłamać w sprawie zwykłej grypy a będzie normalność  bawicie się w doktora Mengele tylko teraz w białych rękawiczkach  szczepionka w 7 miesięcy kpina  https://t.co/JNb9F8HB36,Medyczne
49,"#JarosławPinkas „Nie leczcie się u partaczów(...) u znachorów, bab i felczerów, nie marnujcie waszego zdrowia” - tak brzmiał artykuł w 1919. Czy temat ten nie mógłby być poruszony obecnie? @GIS_gov na Radzie Naukowej przy @MinZdrowia przestawił historie służb sanitarnych w Polsce  https://t.co/WPADsOUd0z",Niemedyczny
51,".@AM_Zukowska: PMM zamiast tworzyć kolejne prezentacje w PowerPoincie z których ma wynikać, że rząd robi wszystko i nasz kraj miewa się świetnie, mógłby pochylić się nad problemami branży gastronomicznej, nad lekarzami, ratownikami, bo tutaj ta pomoc jest dalece niewystarczająca.  https://t.co/JDo9skM1x7",Niemedyczny
53,"Dziś w programie powiemy o dronowym moście powietrznym między szpitalami na @PGENarodowy i @CSK_MSWiA, nowej akcji @Fundacja_ITAKA, zajrzymy na początek procesu beatyfikacyjnego s. Wandy Boniszewskiej oraz na Bazar Różyckiego, który już na finiszu remontu. Zapraszamy 16:00-18:30.  https://t.co/JkYrN2d4fZ",Niemedyczny
54,"Do 10 lat więzienia grozi lekarzowi z #Lodz, który brał łapówki i wystawiał fikcyjne zwolnienia. Bez badania pacjenta wypisywał też zaświadczenia o niezdolności do udziału w czynnościach przed sądem. Brał za to m. in. pieniądze, alkohol czy perfumy @policja_lodzka  @RadioZET_NEWS  https://t.co/YaqcxZ0XcW",Niemedyczny
55,"Woda mineralna, ręczniki papierowe czy mydło w płynie znalazły się wśród darów, które żołnierze 12. Brygady Zmechanizowanej przekazali we szczecińskiemu szpitalowi zakaźnemu. W zbiórkę włączyli się także mieszkańcy– przedmioty pierwszej potrzeby wypełniły dwie wojskowe ciężarówki  https://t.co/PLz2YExMuM",Niemedyczny
56,"Rok od momentu, gdy dowiedzieliśmy się że Pan @SlawomirMentzen nie dostał się do sejmu. Obiecał ciężką pracę i ostatnie 12 miesięcy pokazały, że trzeba po prostu bić brawo Panu doktorowi. Pomimo wielu przeciwności losu udało mu się systematycznie rozpowszechniać wolnościowe idee.  https://t.co/WFZvuNILLn",Niemedyczny
57,"Jutro Św.Teresy od Iezusa. Doktora Koś. Na studiach najdłużej Dogmatyki uczył mnie 5 lat Ks.dr F Dylus/studiował  na KUlu i we Francji/. Mówił o powstaniu naukowej mistyki dzięki Hiszpańskim Doktorom Mistycznym Św. Teresie i Św.Jan od Krzyża. Czytał ich Bergson,Edyta Stein i inni  https://t.co/WJFFj3ypDy",Niemedyczny
58,"Oddaliśmy krew i osocze! Wierzymy, że nasza pomoc przyniesie choć odrobinę dobra w walce z koronawirusem! Wszystkich zachęcamy do oddania krwi, a tych z Was, którzy przeszli już zakażenie wirusem, do oddania osocza - jest naprawdę potrzebne!   https://t.co/5D4nt17lnr  #hydrotruck  https://t.co/bXzOgckbzv",Medyczne
59,"Oddałem dziś osocze, by ratować innych. Spostrzegawczych, którzy dopatrzyli się uchylonej maseczki informuję, że zgodnie z zaleceniem lekarza musiałem ją chwilowo lekko zsunąć. Różnie bywa. Pomimo tego naprawdę warto! Zachęcam Państwa do oddawania osocza, ono rzeczywiście pomaga!  https://t.co/6ZSat0yXd4",Medyczne-diagnoza
60,"6.09.1937 ur. się Jerzy Bińczycki🌹wspaniały polski aktor. Zm. w 1998. Noce i dnie, Znachor, Ucieczka z kina Wolność, Szpital przemienienia, Dreszcze, Pan Tadeusz, Magnat, Ferdydurke, Życie rodzinne, Dagny i inne. Doskonały w teatrze. Grał też w serialach.  https://t.co/mi6cUY2anj  https://t.co/m2lfTadbiF",Niemedyczny
61,"Dziś online, jutro w kioskach: * Czyje głosy cieszą Kreml? * Tajemnice Szpitala Narodowego * Chwin: na nucie obrony niepodległości można w Polsce wiele wygrać * Covidowe statystyki od czapy * @BoniekZibi o Diego Maradonie * Wkurzeni górale naśnieżają stoki * Smog sprzyja pandemii  https://t.co/pjxTt8d3KX",Niemedyczny
62,"Niemcy będą pomagać lubuskim szpitalom.. Marszałek Elżbieta Anna Polak poprosiła o wsparcie premierów Brandenburgii i Saksonii.   Marszałek podkreśla, że w celu zapewnienia bezpieczeństwa mieszkańcom regionu Lubuskie chętnie skorzysta z każdej oferty pomocy partnerów i przyjaciół  https://t.co/vWiHdeZmOg",Niemedyczny
