,index,id,text,annotation_after_vote
0,4,169104,"Swoim najcenniejszym darem - krwią, podzielili się w RCKiK w Lublinie 👮‍♂️👮‍♀️, którzy przyjęci do służby złożyli wczoraj ślubowanie. Swoje pierwsze kroki w służbie, nowi policjanci z Wydziału Konwojowego KWP skierowali właśnie tam, by oddać krew potrzebującym  https://t.co/tcB4p2oKh1  https://t.co/NplelPmmU1",Remis-sporny
1,17,169128,"Naukowcom z #GlattLaboratory w #MCB @JagiellonskiUni udało się uchwycić przy pracy specyficzny enzym regulujący prędkość produkcji białek. Daje to szansę na nowe leki przeciwko otyłości, astmie oskrzelowej, niepełnosprawności intelektualnej czy nowotworom   https://t.co/T6ufVWDhCb  https://t.co/Ybh5gCx5z4",Remis-sporny
2,25,169152,"Trwa okres przeziębień, #grypy i katarów, dlatego warto uodpornić się za pomocą wizyt w saunie. Jeśli nie mamy własnej #sauny i korzystamy z publicznych, wybierz #damski strój na saunę dający swobodę ruchów oraz pełny komfort! Oto bawełniany strój #Asili ▶️ https://t.co/U7jEFB1JUG  https://t.co/WYWYXAUrG2",Remis-sporny
3,26,169146,"Laura ma tylko 18 miesięcy. Cierpi na SMA. By ją leczyć potrzebna jest terapia genowa, która kosztuje blisko 8 milionów. Jak pomóc? Opcje są 2: - udział w licytacji meczowej koszulki @Szumski29:  https://t.co/VJPOgzTZQB - wpłaty na  https://t.co/dlCqPsn6PQ Nie bądźcie obojętni!❤️💙  https://t.co/VHIkMggO0q",Remis-sporny
4,52,169212,podobno służba zdrowia leży. Przychodnie w stanie rozkładu... Moje doświadczenie z Warszawy - Pacjentka 88 lat; I stopień niepełnosprawności -  19.11. skierowanie od lekarza I kontaktu. do nefrologa /cito/; 20.11. tel.kontakt z poradnią nefrologiczną; 24.11. wizyta u specjalisty;  https://t.co/YyjxTLs978,Remis-sporny
5,86,169284,"Dyrektor techniczna #WHO ds. COVID-19, ekspertka ds. chorób wirusowych i epidemii Maria van Kerkhove powiedziała w piątek podczas konferencji prasowej w Genewie, że przenoszenie wirusa między zwierzętami i ludźmi budzi niepokój - informuje PAP. Jak dodała, mutacje w wirusach  1/2  https://t.co/shB8u8BVLU",Remis-sporny
6,91,169296,"👮‍♂️👮‍♂️ z Łukowa, którzy jako pierwsi z jednostki pokonali koronawirusa oddali osocze. 👮‍♂️👮‍♂️ chcą w ten sposób pomóc innym, którzy nadal walczą z Covid-19. Jak powiedzieli, był to naturalny gest solidarności. Kolejni 👮‍♂️👮‍♀️ ozdrowieńcy zadeklarowali taką chęć.   https://t.co/2vs5ew9AzU  https://t.co/lUq9a9ZNrP",Remis-sporny
7,107,169332,"Pomagamy Jackowi Gaworskiemu - szermierzowi, srebrnemu medaliście Igrzysk Paraolimpijskich, który walczy ze stwardnieniem rozsianym i nowotworem mnogim rdzenia.   Dziękuję wszystkim, którzy zaangażowali się w akcję. Macie wielkie serca ❤️! Więcej o Jacku:   https://t.co/HJoeSI8ZUZ  https://t.co/pxjedxV46x",Remis-sporny
8,127,169371,Alkohol VS Rak   – dlaczego alkohol może zwiększać ryzyko zachorowania na 1 z 7 rodzajów raka?  – połączenie picia i palenia wielokrotnie zwiększa ryzyko wystąpienia nowotworów niż samo picie lub samo palenie  – czy rodzaj alkoholu ma znaczenie?  – czy pic  https://t.co/6UXIMQRC08  https://t.co/iSeaLCq4vu,Remis-sporny
9,133,169392,"W Kamieńsku zostaje 1 apteka. Gmina 5900 mieszk.=geo 500m wokół istniejącej apteki. Poniżej mapka. Farmaceuci z zamykanej apteki mogliby otworzyć swoją. Na łące. Właścicielka jedynej apteki, Ewa W. nie jest farmaceutką. Apteka przy przychodni. Wygrała życie. PseudoAdA w praktyce.  https://t.co/1tujYJO3Es",Remis-sporny
