text,label,words
"Witam . Mam prośbę o iterpretacje wyników morfologii . OB- 32 , RBC- 3,91 , HGB- 7,2, HTC-- 24,8 , MCV- 63,4 ,MCH- 18,4 ,MCHC -29,0 ,RDW-CV- 18,9 ,WBC-5,1 , LYM-1,6 , MXD -0,5 ,NEU- 3,0 ,LYM%-31,2 , MXD%-10,9 ,NEU%-57,9 ,PLT -542 , PDW- 11,4 , MPV- 10,1.Bardzo prosze o pomoc chpdzę do lekarza dostaje żelazo w tabl. co praktycznie wcale nie poprawia wyników tylko im dłużej sie lecze tym sa nizsze :(",Medyczne-diagnoza,73
"Dzień dobry,Czy były oznaczane kiedykolwiek wartości żelaza w surowicy krwi, TIBC, ferrytyny i transferyny jak również witaminy B12 oraz kwasu foliowego? Jeśli nie to proszę to wykonać. Bez tego nie można dalej diagnozować przyczyn nieskuteczności suplementacji doustnej żelaza. Na chwilę obecną proponuję przyjąć dodatkowo witaminę C w dawkach 2x500 mg razem z żelazem.Pozdrawiam serdecznie",Medyczne-diagnoza,56
"Witam. Mam dziecko - dziewczynkę 6 letnią przed zabiegiem wycięcia migdałka. Wykonałem badania zlecone przez lekarza i wyszło podwyższone APTT. Wynik - 44,5, norma 38. Powtórzyłem badanie w innym ośrodku i wynik wyszedł 49,4 norma 40. APTT ratio 1,47 norma 1,20. Morfologia, INR i Fibrynogen w normie. Mam pytanie czy w takim przypadku można bezpiecznie podejść do zabiegu? A także czy w związku z podwyższonym APTT należy podjąć dodatkową diagnostykę?",Medyczne-diagnoza,70
"Szanowny Panie,Wydłużony czas aPTT wymaga wykonania dodatkowych badań.Trzeba wyjaśnić, czy przyczyną wydłużenia czasu aPTT jest niedobór czynników krzepnięcia -wtedy może być konieczna substytucja niedoborowego czynnika przed zabiegiem, czy też jest to stan nie związany z niedoborem czynników krzepnięcia.",Medyczne-diagnoza,40
"Mam chorobe von willebranda i mam planowany niewielki zabieg. Po podaniu dozylnie desmoprezyny (Minirin) dla testu, poziom czynnika odpowiednio wzrosl. Czy tabletki lub donosowe injekcje dadza taki sam efekt? Jakie dawkowanie?",Medyczne-diagnoza,31
"Szanowna Pani lub Panie,Donosowe podanie desmopresyny może skutkować wzrostem aktywności vWF do innych wartości, niż po podaniu dożylnym, stąd konieczne jest wykonanie odrębnego testu. Postać doustna desmopresyny nie ma zastosowania w vWD.TK",Medyczne-diagnoza,34
"To wyniki rozmazu krwi mojej 1,5 rocznej córki. Granulocyty segmentowane obojetnochlonne- 10. norma 45-70Granulocyty kwasochłonne-8. Norma1-5Granulocyty zasadochlonne-0. Norma 0-1Limfocyty-66. Norma 20-45Monocyty- 5. Norma 3-11.Czy to może być nautropenia? Jakie badania zrobić żeby rozszerzyć diagnostykę",Medyczne-diagnoza,39
"Szanowna Pani, Podała Pani zbyt mało danych, by można było to jednoznacznie stwierdzić. Konieczne jest przedstawienie pełnej morfologii krwi. W przypadku wątpliwości, zawsze należy skonsultować się z lekarzem.",Medyczne-diagnoza,28
"Nie zakwalifikowano 6-letniego syna na zabieg z powodu APTT 166s(norma do 39s)Czy można prywatnie do hematologa i jakie koszty badań? Na NFZ długie terminy...a my sie martwimy.INR lekko podwyższone,płytki krwi w normie,reszta badań też.Co to może być? Nie krwawi za bardzo przy rozcięciu,nie ma też siniaków.Ma autyzm ale wysokofunkcjonuje często uderza głową o podłoge w nerwach.",Medyczne-diagnoza,58
"Takie wyniki wymagają konsultacji hematologicznej, przeprowadzenia domładnego wywiadu, badania dziecka oraz wykonania dodatkowych, specjalistycznych badań układu krzepnięcia. Są to wysokospecjalistyczne badania, konieczne jest oznaczenie m. in. aktywności czynników krzepnięcia. Można te badania wykonać komercyjnie -  ceny są bardzo zróżnicowane, zależnie od laboratorium.",Medyczne-diagnoza,42
